keywords,utterance,response
"greetings, hi, hello, hey, good morning, good afternoon, good evening, welcome","Hello!","Hi there! 🐶 Welcome to Paws & Homes Rescue Center. I'm PawsBot — how can I help you find your perfect paw-tner today?"
"how are you, how's it going, how is it going","How are you doing?","I'm doing great, tail wagging and all! 😊 Ready to help you find a furry friend. What can I do for you?"
"thank you, thanks, cheers, appreciate","Thank you!","You're welcome! 🐾 Have a pawsome day!"
"bye, goodbye, see you, cya, farewell","Goodbye!","Bye! Come visit our pups soon — they'd love to meet you! 👋🐕"
"help, menu, what can you do, options, commands","What can you help with?","I can help you with:
• Adoption process & costs
• Available breeds & dogs
• Visiting hours & location
• Vaccines & health care
• Volunteering & donations
• Contact & staff info

Just ask away! 🐾"
"what is paws, paws and homes, about paws, rescue center, paws homes rescue","What is the rescue center?","Paws & Homes Rescue Center is Nairobi's premier dog rescue! We save, heal, and rehome abandoned pups — giving every dog the loving home they deserve. 🏠🐕"
"contact, phone, email, reach, call, phone number","How can I contact?","📞 +254 729 932 162
✉️ pawsandhomes@gmail.com

Office hours: Mon–Sat, 8AM–6PM"
"manager, boss, who runs, alex kimani","Who is the manager?","Mr. Alex Kimani manages day-to-day operations, adoptions, and our furry residents. 👨‍💼"
"assistant manager, deputy, sarah wanjiku","Who is the assistant manager?","Ms. Sarah Wanjiku handles daily adoptions and coordinates our wonderful volunteers."
"adoption process, how to adopt, adoption steps, apply adopt","What is the adoption process?","Our adoption process:
1️⃣ Visit & meet the dogs
2️⃣ Submit an application
3️⃣ Home assessment
4️⃣ Find your perfect match!

We have a 98% long-term success rate. 🐾"
"adopt a dog, adopt dog, get a dog, take dog home, i want a dog","How do I adopt a dog?","Ready to adopt? Come visit us Mon–Sat, 8AM–6PM. Meet the pups, apply online, and we'll help find your perfect match + do a home visit. 🐶❤️"
"adoption cost, adoption price, how much adopt, dog price, puppy cost, cost, price","What are the adoption costs?","💰 Adoption fees: KES 10,000–50,000 (varies by age & breed).

Includes: vaccines, microchip, collar, leash & a 2-week food starter kit. Great value for a lifelong companion!"
"mpesa, m-pesa, m pesa, pay mpesa, payment mpesa, pay","Can I pay via M-Pesa?","✅ Yes! We accept M-Pesa payments.
Till/number: 254729932162

Adoption fees and donations both welcome!"
"breeds, what breeds, which breeds, german shepherd, labrador, bulldog, beagle, available dogs","Which breeds do you have?","🐶 We currently have:
• German Shepherds
• Labradors
• Bulldogs
• Beagles
• 20+ wonderful mixed breeds

Come meet them in person — you might be surprised who steals your heart!"
"vaccination, vaccinated, vaccine, shots, immunize, jabs","Are dogs vaccinated?","💉 All our dogs receive a full vaccine panel: Rabies, DHPP, Parvo, and more. Full health records provided at adoption."
"visiting hours, open hours, hours, when can i visit, arrival time, visiting","What are the visiting hours?","⏰ We're open Mon–Sat, 8AM–6PM.
Adoption events may run until 8PM.

Closed Sundays — call us on public holidays: +254 729 932 162."
"closing time, when do you close, close","What time do you close?","We close at 6PM daily. Adoption events may run until 8PM. 🌙"
"location, address, where, find you, located, directions","Where are you located?","📍 We're based in Nairobi, Kenya. For the exact secure address, please contact us:
📞 +254 729 932 162
✉️ pawsandhomes@gmail.com"
"donate, donation, support, give, contribution","How can I donate?","💖 Every donation saves a life! We accept:
• M-Pesa: 254729932162
• Cash at the center
• Food, blankets & supplies

All donations are tax-deductible. Thank you! 🐾"
"volunteer, volunteering, help out, volunteer program","How do I volunteer?","🤝 Volunteers are our heroes! You can help with:
• Dog walks & socialization
• Events & fundraisers
• Fostering

Email: pawsandhomes@gmail.com
Subject: 'Volunteer Application'"
"foster, fostering, temporary home, temporary care","Is fostering available?","🏘️ Yes, we have a fostering programme! Short-term homes for pups awaiting adoption — training and support fully provided. Contact us to apply!"
"how many dogs, dogs available, litter, number of dogs, available","How many dogs are available?","👥 We typically have 50–100 wonderful dogs ready for loving homes at any time. Come see who's waiting for you!"
"success, rehomed, story, how many rehomed, adoptions success","How many dogs have been rehomed?","🎉 We've found forever homes for 5,000+ dogs since opening! With a 98% long-term adoption success rate, we're proud of every tail wagged."
"collar, what included, adoption kit, what comes with, what do i get","What is included in adoption?","🧳 Every adopted dog comes with:
• Custom engraved ID tag
• Collar & leash
• Full vaccine record
• Deworming
• Microchip
• 2-week food starter kit
• Vet certificate"
"transport, delivery, pickup, bring home, deliver","Can you deliver the dog?","🚗 We can arrange transport within the Nairobi area. Contact us to set up delivery for your new furry family member!"
"mission","What is the mission?","Our mission: Rescue → Rehab → Rehome. Paw by paw, we change lives. 🐾"
"vision","What is the vision?","🌟 Our vision: No stray left behind. Every dog deserves love and a safe, forever home."
"motto, slogan","What is the motto?","'Safe Haven, Forever Homes' 🏠❤️ — that's the Paws & Homes promise."
"social media, facebook, instagram, twitter, follow","Are you on social media?","📱 Follow us for updates, pup photos & event news!
@PawsAndHomesRescue on Facebook, Instagram & Twitter."
"vet, veterinarian, clinic, sick dog, checkup, doctor","Do you have a vet?","🩺 We have a full on-site vet clinic with daily health checks for all residents. We also list certified vets in our 'Service Providers' section for post-adoption care."
"trainer, behavior, biting, barking, training, obedience","Do you have dog trainers?","🐕 We offer basic obedience and socialization training. Expert partner trainers are also available for specialized needs (protection, aggression, socialization)."
"health, deworm, spay, neuter, health check","What health care do dogs receive?","All dogs receive vaccines, deworming, spay/neuter where appropriate, and a full health exam before adoption. 🩺"
"events, adoption events, open days, fair, adoption fair","When are adoption events?","📅 We hold monthly adoption fairs, fundraisers & even dog birthday parties! Follow us on social media or call to find the next event."
"register, non profit, ngo, registration, charity","Is the center registered?","✅ Paws & Homes is a registered non-profit: #NGO/123/2020. 100% of donations fund our rescue mission!"
"staff, employees, workers, team, how many staff","How many staff members?","👨‍👩‍👧‍👦 Our team: 15 full-time staff + 50 dedicated volunteers. We're one big family! 🐾"
"facilities, what facilities, what do you have","What facilities do you have?","🏢 Our facilities include:
• Spacious heated kennels
• On-site vet clinic
• Training center
• Play park & swimming pool
• Grooming station"
"security, safe, secure","Is the center secure?","🔒 The center has 24/7 security guards, CCTV monitoring, and secure perimeter fencing."
"emergency, urgent, help now","Emergency contact?","🚨 For emergencies, call us anytime:
📞 +254 729 932 162
We provide 24/7 emergency response."
"shop, products, supplies, buy supplies, store","Do you sell products?","🛒 We sell collars, food, toys & accessories — all profits support the rescue! Browse our shop section on the website."
"follow up, after adoption, aftercare, post adoption","Do you follow up after adoption?","📞 We follow up at:
• 1 week post-adoption
• 1 month post-adoption
• 3 months post-adoption

Plus lifetime support whenever you need us! ❤️"
"matching, match, how matched, choose dog","How are dogs matched?","🎯 We use a personality assessment + your family lifestyle to find the ideal match. It's not just about looks — it's about compatibility! 98% success rate."
"feeding, food, meals, diet","Do dogs get proper meals?","🍗 All dogs receive vet-approved balanced diets, portioned by weight and age. Nutritional health is a top priority!"
"activities, play, exercise, walks","What activities do dogs get?","🏃‍♂️ Dogs enjoy daily walks, group play sessions, obedience training, and even a swimming pool! We keep tails wagging all day."
"kennels, housing, shelter, sleep","What are the kennels like?","🏠 Spacious, clean, and heated kennels with daily care, enrichment toys, and comfortable bedding for every resident."
"support, special needs, senior dog, disabled","Do you support special needs dogs?","♿ Absolutely! We have dedicated programmes for seniors, disabled dogs, and shy/anxious pups. Every dog deserves love."
"sponsor, sponsorship","Are there sponsorships?","💖 Yes! You can sponsor food, vet care, or a kennel — all contributions are tax-deductible. Contact us to learn more!"
"rules, center rules, policy","What are the center rules?","📜 When visiting:
• Keep pets on a leash
• Supervise children at all times
• No flash photography
• Follow staff guidance"
"holidays, public holiday, open holiday","Are you open on holidays?","🎄 We operate with reduced hours on public holidays. Please call ahead: +254 729 932 162."
"communication, updates, newsletter","How do I get updates?","📧 We send updates via email, SMS, and our newsletter. Follow us on social media for real-time news and adorable pup posts!"
"receipt, invoice, proof of payment","Do I get a receipt?","✅ Yes! You receive an official receipt for all payments and donations. Eligible for tax deduction."
"counseling, adoption counseling, first time","Is adoption counseling available?","💕 Yes! We offer free first-time adopter classes to set you and your new pup up for success."
