Keywords,Utterance,Response
rescue name,What is the name of the rescue center?,The rescue center is called Paws & Homes Rescue Center.
Paws & Homes Rescue Center is located in Nairobi, Kenya.
contacts,How can I contact the rescue center?,You can reach us via phone at +254 729 932 162 or email pawsandhomes@gmail.com.
manager,Who is the manager?,The manager of the center is Mr. Alex Kimani.
assistant manager,Who is the assistant manager?,The assistant manager is Ms. Sarah Wanjiku.
adoption process,What is the adoption process?,We follow a careful matching process to ensure the best fit for dogs and families.
center type,Is this a public or private rescue?,Paws & Homes is a private non-profit rescue center.
adoptions,How do I adopt a dog?,Visit us or apply online. We do home visits and matching.
adoption cost,What are the adoption costs?,Costs vary by dog age and breed. Typically KES 10,000-50,000.
mpesa,Can I pay via M-Pesa?,Yes, adoption fees and donations can be paid via M-Pesa.
collar,What do adopted dogs come with?,Dogs come with collar, leash, and starter supplies.
We can arrange transport within Nairobi area.
fostering,Is fostering available?,Yes, we have a fostering program for dogs awaiting adoption.
kennels,Does the center have kennels?,Yes, clean and spacious kennels for all dogs.
vet clinic,Do you have a vet clinic?,Yes, on-site veterinary care for all dogs.
activities,What activities for dogs?,Play areas, walks, and socialization activities.
feeding,Do dogs get proper meals?,"Yes, nutritious meals tailored to each dog's needs."
litter size,How many dogs are available?,We typically have 50-100 dogs looking for homes.
staff,How many staff members?,We have 15 dedicated staff and many volunteers.
dogs,How many dogs have been rehomed?,Over 5,000 dogs have found forever homes through us.
event dates,When are adoption events?,Events are announced on our social media.
vision,What is the center's vision?,To create a community where every dog has a loving home.
mission,What is the mission?,Provide rescue, rehab, and connect dogs to forever families.
motto,What is the center motto?,"Safe Haven, Forever Homes."
website,Do you have a website?,Visit our site or contact us for more info.
email,What is the center email?,pawsandhomes@gmail.com
registration,Is the center registered?,"Yes, registered as a non-profit animal rescue."
facilities,What facilities do you have?,"Kennels, vet clinic, play areas, training rooms."
clubs,Are there volunteer programs?,"Yes, join as volunteer for walks, events, fostering."
security,Is the center secure?,"Yes, 24/7 security and controlled access."
health,Do dogs get health checks?,"Yes, all dogs are vaccinated, dewormed, and checked."
holidays,Are you open on holidays?,We follow reduced hours during holidays.
performance,How successful are adoptions?,98% success rate with follow-up support.
matching,How are dogs matched?,"Based on lifestyle, family, and dog personality."
followup,Do you follow up after adoption?,"Yes, check-ins at 1 week, 1 month, 3 months."
volunteers,Is there a volunteer program?,"Yes, active volunteer association."
communication,How do we get updates?,"Via email, SMS, and our newsletter."
events,Does the center hold events?,"Yes, adoption days and fundraising events annually."
behavior,How is dog behavior managed?,Positive training and behavioral support.
counseling,Is adoption counseling available?,"Yes, guidance for first-time adopters."
training,Do dogs get training?,"Basic obedience training for all adoptable dogs."
breeds,Which breeds do you have?,German Shepherd, Labrador, Bulldog, Beagle, mixes.
vaccinations,Are dogs vaccinated?,"Yes, all dogs are fully vaccinated."
adoption checks,Are there home checks?,"Yes, home visits to ensure safe environment."
support,Do you support special needs dogs?,"Yes, we rehab dogs with special needs."
sponsorships,Are there sponsorships?,"Yes, sponsor a dog program available."
rules,Are there center rules?,"Yes, all visitors and volunteers follow rules."
arrival time,What time can I visit?,Visitors welcome Mon-Sat 8AM-6PM.
closing time,What time do you close?,We close at 6:00 PM daily.
payment deadline,When should payments be made?,Before finalizing adoption.
receipt,Do I get a receipt?,"Yes, official receipt for all payments."
id tags,Do dogs get ID tags?,"Yes, all adopted dogs get ID tags."
Recommended local pet stores in Nairobi.
visiting,Can I visit the dogs?,"Yes, during opening hours."
emergency,What in emergencies?,Contact us immediately for any issues.

