"Keywords","Utterance","Response"
"greetings, hi, hello, hey, good morning, good afternoon, good evening, welcome","Hello! How can I help you today?","PawsBot: Hi there! 🐶 Welcome to Paws & Homes Rescue Center. How can I help you today?"
"how are you, how's it going","How are you doing?","PawsBot: I'm great! Ready to help you find your perfect paw-tner! 😊 How are you?"
"thank you, thanks, cheers","Thank you!","PawsBot: You're welcome! 🐾 Have a pawsome day!"
"bye, goodbye, see you, cya","Goodbye!","PawsBot: Bye! Come visit our pups soon! 👋🐕"
"help, menu, what can you do","What can you help with?","PawsBot: 🐾 Paws & Homes helper! Ask about:\n• what is paws and homes\n• adoption cost/process\n• contacts/visiting hours\n• manager/volunteers\n• breeds/vaccines\n• vendors/trainers/reviews"
"rescue name, paws and homes, what is paws and homes, paws&homes, about paws, paws homes, rescue center name, paws homes rescue","What is the name of the rescue center?","PawsBot: Paws & Homes Rescue Center - Nairobi's premier dog rescue! We save, heal, rehome abandoned pups. 🏠🐕"
"contacts, contact, phone, email, reach, call, phone number","How can I contact the rescue center?","PawsBot: 📞 +254 729 932 162 | ✉️ pawsandhomes@gmail.com. Office: Mon-Sat 8AM-6PM!"
"manager, boss","Who is the manager?","PawsBot: Mr. Alex Kimani manages operations, adoptions, and our furry residents."
"assistant manager, deputy","Who is the assistant manager?","PawsBot: Ms. Sarah Wanjiku handles daily adoptions and volunteer coordination."
"adoption process, adopt process, how to adopt, adoption steps, apply adopt","What is the adoption process?","PawsBot: 1️⃣ Visit/meet dogs 2️⃣ Application 3️⃣ Home check 4️⃣ Perfect match! 98% success rate."
"center type, public private, non profit","Is this a public or private rescue?","PawsBot: Private non-profit. 100% donations fund our mission!"
"adoptions, how adopt dog, adopt dog, get dog, take dog home","How do I adopt a dog?","PawsBot: Come Mon-Sat 8AM-6PM! Meet pups, apply online, we match + home visit."
"adoption cost, adoption price, adopt cost, adopt price, how much adopt, dog price, puppy cost","What are the adoption costs?","PawsBot: 💰 KES 10K-50K (age/breed). Includes vaccines, microchip, collar, leash, food starter kit."
"mpesa, m pesa, pay mpesa, payment mpesa","Can I pay via M-Pesa?","PawsBot: ✅ Yes! M-Pesa: 254729932162. Adoption fees/donations accepted."
"vendors, partners, service providers","Who else is on the platform?","PawsBot: We host verified veterinarians, professional dog trainers, and pet groomers across Kenya."
"vets, checkup, sick dog, clinic","Can I find a vet here?","PawsBot: Yes! Browse our 'Service Providers' section to find certified vets near you for checkups or emergencies."
"trainers, behavior, biting, barking","Do you have dog trainers?","PawsBot: We have expert trainers specializing in obedience, protection, and socialization."
"marketplace, buy dog, sell dog","Is this a marketplace?","PawsBot: Exactly! Paws & Homes is a multi-vendor marketplace connecting ethical breeders/rescues with loving homes."
"verification, trust, scam","How do I know a seller is legit?","PawsBot: All vendors undergo a verification process. Look for the \"Verified\" badge on their profiles for peace of mind."
"account, sign up, login, register","How do I create an account?","PawsBot: Click 'Sign Up' to create a profile. You can register as a Buyer or apply to be a Vendor/Service Provider."
"search, filter, find dog","How do I find a specific breed?","PawsBot: Use our search filters to sort by breed, age, location, and price to find your perfect match."
"dev, system, tech, platform","Who built this system?","PawsBot: Paws & Homes is built using modern full-stack tech (React/Vite/Node.js) to ensure a fast, secure experience for pet lovers."
"reviews, rating, feedback","Can I rate a vendor?","PawsBot: Yes! After a successful adoption or service, you can leave a star rating and review to help the community."
"notifications, alerts","Do I get alerts for new dogs?","PawsBot: You can enable notifications in your dashboard to be the first to know when a new furry friend is listed."
"collar, what included adopt, adoption kit","What do adopted dogs come with?","PawsBot: 🧳 Full kit: collar, leash, vaccines, deworm, microchip, 2w food, vet cert."
"transport, delivery, pick up","We can arrange transport within Nairobi area.","PawsBot: 🚗 Free delivery in Nairobi! Contact for arrangements."
"fostering, foster, temporary home","Is fostering available?","PawsBot: 🏘️ Yes! Short-term homes for pups awaiting adoption. Training provided."
"kennels, housing","Does the center have kennels?","PawsBot: 🏠 Spacious, clean, heated kennels with daily care."
"vet clinic, veterinarian, vet, doctor","Do you have a vet clinic?","PawsBot: 🩺 Full on-site vet clinic + daily health checks."
"activities, play, exercise","What activities for dogs?","PawsBot: 🏃‍♂️ Daily walks, playgroups, training, swimming pool!"
"feeding, food, meals","Do dogs get proper meals?","PawsBot: 🍗 Vet-approved balanced diet, portioned by weight/age."
"litter size, dogs available, how many dogs, number dogs","How many dogs are available?","PawsBot: 👥 50-100 wonderful dogs ready for loving homes!"
"staff, employees, workers","How many staff members?","PawsBot: 👨‍👩‍👧‍👦 15 full-time + 50 volunteers = family!"
"dogs, rehomed dogs, success stories","How many dogs have been rehomed?","PawsBot: 🎉 5,000+ forever homes created since opening!"
"event dates, adoption events, open days","When are adoption events?","PawsBot: 📅 Monthly events - follow Facebook/Instagram!"
"vision","What is the center's vision?","PawsBot: 🌟 No stray left behind. Every dog deserves love."
"mission","What is the mission?","PawsBot: Rescue → Rehab → Rehome. Paw by paw."
"motto","What is the center motto?","PawsBot: 'Safe Haven, Forever Homes' 🏠❤️"
"website, site, online","Do you have a website?","PawsBot: 🌐 You're here! Browse dogs, apply, shop supplies."
"email","What is the center email?","PawsBot: ✉️ pawsandhomes@gmail.com"
"registration","Is the center registered?","PawsBot: ✅ Registered non-profit #NGO/123/2020."
"facilities","What facilities do you have?","PawsBot: 🏢 Kennels, vet clinic, training center, play park, grooming."
"clubs, volunteers, volunteer program, help out","Are there volunteer programs?","PawsBot: 🤝 Walk dogs, events, fostering. Volunteers = heroes!"
"security","Is the center secure?","PawsBot: 🔒 24/7 guards, CCTV, secure fencing."
"health, checkup","Do dogs get health checks?","PawsBot: 🩺 Vaccines, deworm, spay/neuter, full exam."
"holidays","Are you open on holidays?","PawsBot: 🎄 Reduced hours - call +254729932162."
"performance, success rate","How successful are adoptions?","PawsBot: 📊 98% long-term success with follow-ups."
"matching","How are dogs matched?","PawsBot: 🎯 Personality test + family lifestyle match."
"followup","Do you follow up after adoption?","PawsBot: 📞 Calls: 1wk, 1mo, 3mo + lifetime support."
"communication","How do we get updates?","PawsBot: 📧 Email/SMS/newsletter + social media."
"events","Does the center hold events?","PawsBot: 🎉 Adoption fairs, fundraisers, dog birthdays!"
"behavior","How is dog behavior managed?","PawsBot: 🧠 Positive reinforcement + certified trainers."
"counseling","Is adoption counseling available?","PawsBot: 💕 Free first-time adopter classes."
"training","Do dogs get training?","PawsBot: 🐕 Basic obedience + socialization."
"breeds","Which breeds do you have?","PawsBot: 🐶 German Shepherd, Labrador, Bulldog, Beagle, 20+ mixes."
"vaccinations","Are dogs vaccinated?","PawsBot: 💉 Full panel: Rabies, DHPP, Parvo, etc."
"adoption checks","Are there home checks?","PawsBot: 🏡 Yes - safe yard, family meet."
"support","Do you support special needs dogs?","PawsBot: ♿ Seniors, disabled, shy - special programs."
"sponsorships","Are there sponsorships?","PawsBot: 💖 Sponsor food/vet/kennel - tax deductible!"
"rules","Are there center rules?","PawsBot: 📜 Leash pets, supervise kids, no flash photos."
"arrival time, visiting hours, open hours, hours","What time can I visit?","PawsBot: ⏰ Mon-Sat 8AM-6PM. Events until 8PM."
"closing time","What time do you close?","PawsBot: 6PM daily (events later)."
"payment deadline","When should payments be made?","PawsBot: 💳 Final paperwork day."
"receipt","Do I get a receipt?","PawsBot: ✅ Official + tax deductible."
"id tags","Do dogs get ID tags?","PawsBot: 🏷️ Custom engraved with YOUR info."
"visiting","Can I visit the dogs?","PawsBot: 🙌 Yes! Prepare for puppy love!"
"emergency","What in emergencies?","PawsBot: 🚨 Call +254729932162 - 24/7 response."
"location, address, where","Where are you located?","PawsBot: 📍 Nairobi, Kenya (contact for exact secure address)."
"donate, donation","How to donate?","PawsBot: 💰 M-Pesa, cash, supplies. Every bit saves lives!"
"social media, facebook, instagram","Social media?","PawsBot: 📱 @PawsAndHomesRescue on FB/IG/Twitter."
"volunteer apply","How to volunteer?","PawsBot: 📝 Email pawsandhomes@gmail.com 'Volunteer App'."
"shop, products","Do you sell products?","PawsBot: 🛒 Collars, food, toys - supports rescue!"
"not implemented, feature request, add feature, upgrade system, new feature","Noted for upgrade","PawsBot: Noted! I'll upgrade the system to match your requirements soon. Thanks for the feedback! 🔧"

